Name,Link,Description,Batch
Airbnb,/companies/airbnb,Book accommodations around the world.,WINTER 2009
DoorDash,/companies/doordash,Restaurant delivery.,SUMMER 2013
Coinbase,/companies/coinbase,"Buy, sell, and manage cryptocurrencies.",SUMMER 2012
Groww,/companies/groww,"Making financial services simple, transparent and delightful.",WINTER 2018
Oklo,/companies/oklo,"Emission free, always on power from advanced fission power plants.",SUMMER 2014
Instacart,/companies/instacart,Marketplace for grocery delivery and pickup,SUMMER 2012
Meesho,/companies/meesho,Democratizing internet commerce for everyone in India,SUMMER 2016
Rigetti Computing,/companies/rigetti-computing,Quantum coherent supercomputing.,SUMMER 2014
Dropbox,/companies/dropbox,Backup and share files in the cloud.,SUMMER 2007
GitLab,/companies/gitlab,A complete DevOps platform delivered as a single application.,WINTER 2015
EquipmentShare,/companies/equipmentshare,Cloud solutions for the construction industry.,WINTER 2015
BillionToOne,/companies/billiontoone,The genetic testing platform detecting and measuring disease.,SUMMER 2017
Matterport,/companies/matterport,Turn physical objects and environments into 3D models in seconds.,WINTER 2012
Amplitude,/companies/amplitude,Digital Analytics Platform,WINTER 2012
PagerDuty,/companies/pagerduty,Real-time visibility into critical apps and services all in one place.,SUMMER 2010
Ginkgo Bioworks,/companies/ginkgo-bioworks,Our mission is to make biology easier to engineer.,SUMMER 2014
Weave,/companies/weave,Customer communication and payments platform.,WINTER 2014
Momentus,/companies/momentus,The space infrastructure services company,SUMMER 2018
Pardes Biosciences,/companies/pardes-bio,We break viruses,SUMMER 2020
Embark Trucks,/companies/embark-trucks,Self-driving semi trucks.,WINTER 2016
