Title,URL,Score,Author
The Measured Listener,https://lareviewofbooks.org/article/music-algorithm-spotify-eugenics-measure-talent-raymond-cattell/,1 point,cainxinth
Amusing Numerology: How Base-5 Domain Numbers Reveal a Single Hidden Campaign,https://www.infoblox.com/blog/security/amusing-numerology-analysis-of-the-numbers-in-domain-names/,1 point,speckx
TCS and Anthropic partner to bring Claude to regulated industries,https://www.anthropic.com/news/tcs-anthropic-partnership,1 point,surprisetalk
Most Beautiful Will Ever Made (1936),https://paperspast.natlib.govt.nz/newspapers/DOM19360307.2.43,1 point,cf100clunk
Fail loudly: a plea to stop hiding bugs,https://alejo.ch/3gk,1 point,afc
Elon Musk becomes first trillionaire as SpaceX shares soar,https://www.bbc.com/news/live/czj8dd0kyl7t,2 points,bazzmt
Prompting Claude Fable 5,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-fable-5,1 point,mfiguiere
Donor Scraper for Fairfax Cryobank,https://github.com/tgys/cryobankscraper,1 point,autocatt
The Lorem Ipsum Mystery [video],https://www.youtube.com/watch?v=kL1PDqzqhM4,1 point,dsr12
"China's Deadly ""Bubble Face"" Disaster [video][14 Mins]",https://www.youtube.com/watch?v=yMk1OSSAW28,1 point,Bender
UK to ban under-16s from 'high risk' social media apps,https://www.theguardian.com/uk-news/2026/jun/12/uk-to-ban-under-16s-from-high-risk-social-media-apps,1 point,kefabean
Ask HN: Why is the term forward deployed engineer (FDE) popular all of a sudden?,item?id=48507410,2 points,palidanx
Are Americans Too Old?,https://www.newyorker.com/culture/open-questions/are-americans-too-old,1 point,littlexsparkee
New GreatXML Exploit Bypasses Windows BitLocker via Recovery Partition XML Files,https://github.com/MSNightmare/GreatXML,2 points,uukelele
SealedKeys – Zero-knowledge team password manager with post-quantum crypto,https://sealedkeys.com,1 point,michaelgartlan
Shares in Elon Musk's SpaceX surge after biggest IPO,https://www.reuters.com/world/us/live-elon-musks-spacex-set-stock-market-trading-after-worlds-biggest-ipo-2026-06-12/,2 points,layer8
